ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-11-01,0.29798699272894447,0.2370158979389371,0.3588562804933724,0.29798699272894447,0.29798699272894447,0.0,0.0,0.0,0.0,0.0,0.0,0.29798699272894447
2019-12-01,0.31508823692068694,0.25840917305124306,0.37412424133457417,0.31508823692068694,0.31508823692068694,0.0,0.0,0.0,0.0,0.0,0.0,0.31508823692068694
2020-01-01,0.3327595224139007,0.2690567145438878,0.39331172081406984,0.3327595224139007,0.3327595224139007,0.0,0.0,0.0,0.0,0.0,0.0,0.3327595224139007
2020-02-01,0.35043080764316864,0.2884039891213782,0.4095550584393706,0.35043080764316864,0.35043080764316864,0.0,0.0,0.0,0.0,0.0,0.0,0.35043080764316864
2020-03-01,0.3669620096918834,0.3120929802034084,0.4257330230437468,0.3669620096918834,0.3669620096918834,0.0,0.0,0.0,0.0,0.0,0.0,0.3669620096918834
2020-03-31,0.3840632531905538,0.3240543183689082,0.4461776676985088,0.3840632522899858,0.3840632539920192,0.0,0.0,0.0,0.0,0.0,0.0,0.3840632531905538
2020-04-30,0.4011644966892242,0.34202660202306867,0.45869419415971746,0.40116449397398946,0.40116449921264663,0.0,0.0,0.0,0.0,0.0,0.0,0.4011644966892242
2020-05-31,0.41883578163785035,0.36180066785746057,0.4770647954567429,0.41883577624441715,0.4188357871351576,0.0,0.0,0.0,0.0,0.0,0.0,0.41883578163785035
2020-06-30,0.4359370251365207,0.37909109915323375,0.49974217356905565,0.43593701718336053,0.43593703404364526,0.0,0.0,0.0,0.0,0.0,0.0,0.4359370251365207
2020-07-31,0.4536083100851469,0.39745132534505884,0.5148838466820664,0.4536082988191232,0.45360832253781963,0.0,0.0,0.0,0.0,0.0,0.0,0.4536083100851469
2020-08-31,0.4712795950337729,0.41037557783301465,0.5288835049653867,0.47127958038733164,0.47127961195534623,0.0,0.0,0.0,0.0,0.0,0.0,0.4712795950337729
